"No.","Time","Source","Destination","Protocol","Length","Info"
"226","14.283104","192.168.43.92","40.126.24.81","TCP","66","3131  >  443 [ACK] Seq=289 Ack=3957 Win=524800 Len=0 SLE=2557 SRE=3009"
"227","14.412744","23.46.188.128","192.168.43.92","TCP","54","443  >  3136 [ACK] Seq=6661 Ack=554 Win=64128 Len=0"
"228","14.412744","23.46.188.128","192.168.43.92","TLSv1.3","604","Application Data"
"229","14.453174","192.168.43.92","23.46.188.128","TCP","54","3136  >  443 [ACK] Seq=554 Ack=7211 Win=65792 Len=0"
"230","14.501702","192.168.43.92","23.46.188.128","TCP","54","3136  >  443 [FIN, ACK] Seq=554 Ack=7211 Win=65792 Len=0"
"231","14.512905","192.168.43.92","23.46.188.128","TCP","66","3138  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"232","14.671979","23.46.188.128","192.168.43.92","TCP","66","443  >  3138 [SYN, ACK] Seq=0 Ack=1 Win=64240 Len=0 MSS=1400 SACK_PERM WS=128"
"233","14.672080","192.168.43.92","23.46.188.128","TCP","54","3138  >  443 [ACK] Seq=1 Ack=1 Win=65792 Len=0"
"234","14.675003","192.168.43.92","23.46.188.128","TLSv1.3","344","Client Hello"
"235","14.873013","192.168.43.92","23.46.188.128","TCP","54","[TCP Retransmission] 3136  >  443 [FIN, ACK] Seq=554 Ack=7211 Win=65792 Len=0"
"236","15.031165","23.46.188.128","192.168.43.92","TLSv1.3","78","Application Data"
"237","15.031165","23.46.188.128","192.168.43.92","TCP","54","443  >  3136 [FIN, ACK] Seq=7235 Ack=555 Win=64128 Len=0"
"238","15.031322","192.168.43.92","23.46.188.128","TCP","54","3136  >  443 [RST, ACK] Seq=555 Ack=7235 Win=0 Len=0"
"239","15.113367","192.168.43.92","23.46.188.128","TCP","344","[TCP Retransmission] 3138  >  443 [PSH, ACK] Seq=1 Ack=1 Win=65792 Len=290"
"240","15.268001","23.46.188.128","192.168.43.92","TCP","54","443  >  3138 [ACK] Seq=1 Ack=291 Win=64128 Len=0"
"241","15.277027","23.46.188.128","192.168.43.92","TLSv1.3","1454","Server Hello, Change Cipher Spec, Application Data"
"242","15.278596","23.46.188.128","192.168.43.92","TCP","1454","443  >  3138 [PSH, ACK] Seq=1401 Ack=291 Win=64128 Len=1400 [TCP segment of a reassembled PDU]"
"243","15.278708","192.168.43.92","23.46.188.128","TCP","54","3138  >  443 [ACK] Seq=291 Ack=2801 Win=65792 Len=0"
